calculation_month,snop_month,parent_code,parent_description,qty,source
2026-03,2026-04,706059,PCNO 100ml FT BOT NEW PB,289.0221457,ml
2026-03,2026-04,706059,PCNO 100ml FT BOT NEW PB,220.10794735,tm
2025-12,2026-05,706059,PCNO 100ml FT BOT NEW PB,200.9360354,ml
2025-12,2026-05,706059,PCNO 100ml FT BOT NEW PB,395.0,tm
2026-01,2026-05,706059,PCNO 100ml FT BOT NEW PB,204.2915711,ml
2026-01,2026-05,706059,PCNO 100ml FT BOT NEW PB,400.013499719,tm
2026-02,2026-05,706059,PCNO 100ml FT BOT NEW PB,196.0655005,ml
2026-02,2026-05,706059,PCNO 100ml FT BOT NEW PB,400.131840922,tm
2026-03,2026-05,706059,PCNO 100ml FT BOT NEW PB,175.9403112,ml
2026-03,2026-05,706059,PCNO 100ml FT BOT NEW PB,370.12410495,tm
2026-04,2026-05,706059,PCNO 100ml FT BOT NEW PB,289.1124065,ml
2026-04,2026-05,706059,PCNO 100ml FT BOT NEW PB,360.12262795,tm
2026-01,2026-06,706059,PCNO 100ml FT BOT NEW PB,271.918009,ml
